index,substation,voltage,name,lat,lon,zone,info,demand
n5675,s6217,380,Hamburg-Nord,53.802,9.948,DE,Substation,True
n5676,s6218,220,Kummerfeld,53.678002,9.677582,DE,Substation,True
n5677,s6219,380,Hamburg-SÃ¼d,53.443899,9.883575,DE,Substation,True
n5678,s6220,220,Audorf,54.315,9.76,DE,Substation,True
n5679,s6220,380,Audorf,54.295,9.76,DE,Substation,True
n5680,s6221,220,unknown,53.732,9.971,DE,Substation,True
n5681,s6221,380,unknown,53.712,9.971,DE,Substation,True
n5682,s6222,380,Hamburg-Ost,53.568045,10.254364,DE,Substation,True
n5683,s6223,220,Kiel/West,54.334829,10.118415,DE,Substation,True
n5684,s6224,220,Kiel-SÃ¼d,54.249982,10.162354,DE,Substation,True
n5685,s6225,380,KrÃ¼mmel,53.435719,10.458984,DE,Substation,True
n5686,s6226,380,LÃ¼neburg,53.264392,10.441132,DE,Substation,True
n5687,s6227,220,LÃ¼beck,53.833891,10.548248,DE,Substation,True
n5688,s6228,380,Herrenwyk,53.947196,10.881958,DE,Substation,True
n5689,s6229,220,Siems,53.882,10.757,DE,Substation,True
n5690,s6229,380,Siems,53.862,10.757,DE,Substation,True
n5692,s6231,380,Rhede,52.902276,7.193298,DE,Substation,True
n5693,s6232,380,Meppen,52.69969,7.24411,DE,Substation,True
n5694,s6233,380,Alfstedt,53.467613,9.001923,DE,Substation,True
n5695,s6234,132,Flensburg,54.752,9.407,DE,Substation,True
n5696,s6234,220,Flensburg,54.732,9.407,DE,Substation,True
n5697,s6235,380,Moorburg,53.496216,9.998932,DE,Hard coal,False
n7151,s7830,380,,48.80955365,9.357741096,DE,joint,False
n5710,s6254,220,Stade,53.568861,9.349365,DE,Substation,True
n5711,s6255,220,GÃ¶tzdorf,53.618579,9.445496,DE,Substation,True
n5713,s6257,132,Hagermarsch,53.664985,7.518768,DE,Substation,True
n5714,s6259,220,Kiel,54.383756,10.324402,DE,Brown coal/Lignite,False
n5718,s6268,,HelWin alpha,54.250785,8.057098,DE,Converter Station,False
n5719,s6269,,HelWin beta,54.310916,8.125763,DE,Converter Station,False
n5720,s6271,,DolWin alpha,53.880059,6.844482,DE,Converter Station,False
n5721,s6272,,DolWin beta,53.962549,7.110901,DE,Converter Station,False
n5722,s6273,132,Alpha Ventus,53.939921,6.966705,DE,Wind farm,False
n5723,s6275,,BorWin beta,54.381357,6.859589,DE,Converter Station,False
n5724,s6276,,BorWin alpha,54.32213,6.851349,DE,Converter Station,False
n5725,s6277,,SylWin alpha,54.922407,7.787933,DE,Converter Station,False
n5726,s6278,132,Riffgat,53.691828,6.48056,DE,Wind farm,False
n5728,s6282,,DolWin gamma,53.813626,6.844482,DE,Converter Station,False
n5729,s6283,132,Inhausen,53.6471,8,DE,Substation,True
n5730,s6284,132,NordergrÃ¼nde,53.835512,8.2164,DE,Wind farm,False
n5731,s6285,,BorWin gamma,54.443693,7.095795,DE,Converter Station,False
n5732,s6286,380,BÃ¼ttel,53.931837,9.327393,DE,Substation,True
n5733,s6287,380,DÃ¶rpen/West,52.847571,7.161713,DE,Substation,True
n5734,s6288,380,Jardelund,54.792768,9.253235,DE,Substation,True
n5735,s6289,220,BÃ¼tzfleth,53.721092,9.324646,DE,Substation,True
n5738,s6292,380,Ohlensehlen,52.591369,8.815155,DE,Substation,True
n5739,s6293,380,Farge,53.025522,8.592682,DE,Substation,True
n5740,s6294,380,SÃ¼derdonn,54.120602,9.29306,DE,Substation,True
n6839,s7544,220,,51.272,6.466,DE,joint,False
n6840,s7544,380,,51.252,6.466,DE,joint,False
n6841,s7545,220,,51.648,7.696,DE,joint,False
n6842,s7545,380,,51.628,7.696,DE,joint,False
n6843,s7546,220,,51.5,6.925,DE,joint,False
n6844,s7546,380,,51.48,6.925,DE,joint,False
n6845,s7547,380,,49.135003,8.687439,DE,joint,False
n6846,s7548,220,,49.315,8.648,DE,joint,False
n6847,s7548,380,,49.295,8.648,DE,joint,False
n6848,s7549,220,,52.364,9.279,DE,joint,False
n6849,s7549,380,,52.344,9.279,DE,joint,False
n6850,s7550,380,,51.817105,13.083344,DE,joint,False
n6851,s7551,220,,49.546,8.546,DE,joint,False
n6852,s7551,380,,49.526,8.546,DE,joint,False
n6853,s7552,380,,47.61638306,9.663429844,DE,joint,False
n6854,s7553,220,,49.771509,6.560211,DE,joint,False
n7261,s7931,380,,50.05625693,9.069206266,DE,joint,False
n7264,s7938,220,,53.412,7.156,DE,joint,False
n7265,s7938,,,53.392,7.156,DE,joint,False
n7266,s7939,220,,49.467,8.598,DE,joint,False
n7267,s7939,380,,49.447,8.598,DE,joint,False
n7268,s7940,220,,49.444,7.605,DE,joint,False
n7269,s7940,380,,49.424,7.605,DE,joint,False
n7270,s7942,220,,49.103,9.123,DE,joint,False
n7271,s7942,380,,49.083,9.123,DE,joint,False
n7272,s7943,380,,52.02686869,11.86080573,DE,joint,False
n7273,s7944,380,,47.62718878,7.61211063,DE,joint,False
n7274,s7946,380,,49.98119623,8.852365902,DE,joint,False
n7275,s7948,380,,52.70540096,13.51945041,DE,joint,False
n7276,s7949,380,,47.63669112,9.802352407,DE,joint,False
n7277,s7950,380,,48.78620463,9.348505081,DE,joint,False
n7278,s7951,380,,48.63849157,9.436338729,DE,joint,False
n7279,s7952,380,,47.90642777,8.413851382,DE,joint,False
n7280,s7953,380,,47.964181,8.503418,DE,joint,False
n7281,s7954,380,,48.75610459,9.442251622,DE,joint,False
n7282,s7955,380,,50.92743082,6.807611836,DE,joint,False
n7486,s8187,220,,53.673121,9.275208,DE,joint,False
n7487,s8188,380,,50.894372,11.597443,DE,joint,False
n7489,s8190,380,,52.614723,12.233276,DE,joint,False
n7610,s8369,220,,52.704683,12.978973,DE,joint,False
n7637,s8407,380,,52.114096,14.440155,DE,joint,False
n7641,s8411,380,,50.959292,13.128662,DE,joint,False
n7649,s8419,220,,47.800242,8.878326,DE,joint,False
n7652,s8422,220,,49.408,7.177,DE,joint,False
n7653,s8422,380,,49.388,7.177,DE,joint,False
n7672,s8440,380,,51.010299,10.345001,DE,joint,False
n7681,s8449,380,,52.792797,7.130127,DE,joint,False
n7682,s8450,380,,51.567681,12.171478,DE,joint,False
n7688,s8456,380,,53.559073,12.553253,DE,joint,False
n7704,s8472,380,,50.264765,7.505035,DE,joint,False
n7711,s8479,380,,49.349283,6.844482,DE,joint,False
n7712,s8480,380,,50.306007,8.12439,DE,joint,False
n7720,s8488,220,,53.582,12.133,DE,joint,False
n7721,s8488,380,,53.562,12.133,DE,joint,False
n7723,s8490,220,,51.401,6.503,DE,joint,False
n7724,s8490,380,,51.381,6.503,DE,joint,False
n7726,s8492,220,,53.188756,13.94165,DE,joint,False
n7745,s8508,380,,49.884017,10.020905,DE,joint,False
n7756,s8519,380,,49.60804,10.007172,DE,joint,False
n7760,s8523,380,,53.625095,11.725159,DE,joint,False
n7769,s8532,220,,47.538,11.216,DE,joint,False
n7783,s8545,380,,48.281365,10.06485,DE,joint,False
n7786,s8548,380,,52.503684,7.337494,DE,joint,False
n7788,s8550,380,,51.825593,13.165741,DE,joint,False
n7790,s8552,220,,49.845,6.632,DE,joint,False
n7791,s8552,380,,49.825,6.632,DE,joint,False
n7795,s8556,220,,50.993879,8.032379,DE,joint,False
n7798,s8559,380,,49.562634,8.456726,DE,joint,False
n7800,s8561,380,,51.76869,7.993927,DE,joint,False
n7805,s8566,380,,50.66339,12.906189,DE,joint,False
n7823,s8584,220,,49.546598,6.619263,DE,joint,False
n7850,s8609,380,,48.441045,11.02066,DE,joint,False
n7852,s8611,220,,51.899376,8.544617,DE,joint,False
n7857,s8615,380,,48.370848,11.737518,DE,joint,False
n7863,s8621,380,,51.97473,8.644867,DE,joint,False
n7870,s8628,380,,52.261434,14.317932,DE,joint,False
n7871,s8629,380,,53.874392,9.394684,DE,joint,False
n7872,s8630,220,,51.813,7.942,DE,joint,False
n7873,s8630,380,,51.793,7.942,DE,joint,False
n7878,s8635,380,,53.61695,9.615784,DE,joint,False
n7879,s8636,220,,53.084952,9.025269,DE,joint,False
n7884,s8641,220,,52.170563,9.070587,DE,joint,False
n7888,s8644,220,,49.433,8.308,DE,joint,False
n7889,s8644,380,,49.413,8.308,DE,joint,False
n7890,s8645,380,,49.832668,8.482819,DE,joint,False
n7892,s8647,220,,51.063839,12.626038,DE,joint,False
n7897,s8652,380,,51.388923,8.856354,DE,joint,False
n7901,s8656,220,,53.748711,13.276978,DE,joint,False
n7907,s8662,380,,50.867511,12.062988,DE,joint,False
n7910,s8665,220,,49.782151,9.50592,DE,joint,False
n7913,s8668,380,,50.195364,8.756104,DE,joint,False
n7916,s8671,380,,51.76529,12.988586,DE,joint,False
n7933,s8685,380,,50.952371,13.808441,DE,joint,False
n7934,s8686,380,,52.838447,13.314056,DE,joint,False
n7938,s8690,220,,51.76869,9.770966,DE,joint,False
n7939,s8691,380,,53.648708,13.274231,DE,joint,False
n7941,s8693,380,,52.459357,7.969208,DE,joint,False
n7944,s8696,380,,48.459263,10.453491,DE,joint,False
n7952,s8704,220,,53.234811,8.32901,DE,joint,False
n7959,s8710,380,,48.451066,9.185944,DE,joint,False
n7967,s8718,380,,53.012305,12.075348,DE,joint,False
n7975,s8726,220,,48.867425,8.477325,DE,joint,False
n7976,s8727,380,,51.037076,7.546234,DE,joint,False
n7983,s8733,380,,50.981776,6.227875,DE,joint,False
n7984,s8734,220,,48.391826,12.788086,DE,joint,False
n7988,s8738,380,,52.37308413,12.9357145,DE,joint,False
n7989,s8739,220,,53.116284,13.930664,DE,joint,False
n7996,s8745,220,,50.814612,8.059845,DE,joint,False
n7998,s8747,380,,51.145756,9.125519,DE,joint,False
n8002,s8751,380,,52.533767,7.389679,DE,joint,False
n8013,s8762,380,,49.22836,8.894806,DE,joint,False
n8015,s8764,380,,52.46605,8.374329,DE,joint,False
n8016,s8765,220,,50.6303,11.601562,DE,joint,False
n8028,s8777,380,,51.697246,7.693176,DE,joint,False
n8043,s8791,220,,54.258005,10.053864,DE,joint,False
n8045,s8793,220,,48.027,10.761,DE,joint,False
n8046,s8793,380,,48.007,10.761,DE,joint,False
n8047,s8794,380,,50.771208,6.811523,DE,joint,False
n8051,s8798,380,,53.182173,8.419647,DE,joint,False
n8052,s8799,380,,53.067627,8.438873,DE,joint,False
n8055,s8802,220,,51.955268,8.4375,DE,joint,False
n8060,s8807,220,,53.196984,8.595428,DE,joint,False
n8061,s8808,380,,49.561743,8.305664,DE,joint,False
n8066,s8813,380,,53.262749,12.31842,DE,joint,False
